"AREA_NAME","value","year"
"South Eglinton-Davisville",17,2014
"South Eglinton-Davisville",19,2015
"South Eglinton-Davisville",27,2016
"South Eglinton-Davisville",34,2017
"South Eglinton-Davisville",30,2018
"South Eglinton-Davisville",42,2019
"South Eglinton-Davisville",94,2020
"South Eglinton-Davisville",34,2021
"South Eglinton-Davisville",18,2022
"South Eglinton-Davisville",37,2023
"North Toronto",5,2014
"North Toronto",13,2015
"North Toronto",9,2016
"North Toronto",13,2017
"North Toronto",17,2018
"North Toronto",22,2019
"North Toronto",50,2020
"North Toronto",22,2021
"North Toronto",10,2022
"North Toronto",22,2023
"Dovercourt Village",26,2014
"Dovercourt Village",34,2015
"Dovercourt Village",52,2016
"Dovercourt Village",45,2017
"Dovercourt Village",30,2018
"Dovercourt Village",26,2019
"Dovercourt Village",28,2020
"Dovercourt Village",26,2021
"Dovercourt Village",20,2022
"Dovercourt Village",38,2023
"Junction-Wallace Emerson",40,2014
"Junction-Wallace Emerson",41,2015
"Junction-Wallace Emerson",50,2016
"Junction-Wallace Emerson",62,2017
"Junction-Wallace Emerson",65,2018
"Junction-Wallace Emerson",70,2019
"Junction-Wallace Emerson",54,2020
"Junction-Wallace Emerson",36,2021
"Junction-Wallace Emerson",36,2022
"Junction-Wallace Emerson",55,2023
"Yonge-Bay Corridor",223,2014
"Yonge-Bay Corridor",156,2015
"Yonge-Bay Corridor",202,2016
"Yonge-Bay Corridor",215,2017
"Yonge-Bay Corridor",267,2018
"Yonge-Bay Corridor",219,2019
"Yonge-Bay Corridor",173,2020
"Yonge-Bay Corridor",169,2021
"Yonge-Bay Corridor",230,2022
"Yonge-Bay Corridor",228,2023
"Bay-Cloverhill",78,2014
"Bay-Cloverhill",87,2015
"Bay-Cloverhill",99,2016
"Bay-Cloverhill",99,2017
"Bay-Cloverhill",96,2018
"Bay-Cloverhill",70,2019
"Bay-Cloverhill",59,2020
"Bay-Cloverhill",58,2021
"Bay-Cloverhill",68,2022
"Bay-Cloverhill",56,2023
"Bendale-Glen Andrew",10,2014
"Bendale-Glen Andrew",7,2015
"Bendale-Glen Andrew",4,2016
"Bendale-Glen Andrew",23,2017
"Bendale-Glen Andrew",2,2018
"Bendale-Glen Andrew",3,2019
"Bendale-Glen Andrew",1,2020
"Bendale-Glen Andrew",4,2021
"Bendale-Glen Andrew",6,2022
"Bendale-Glen Andrew",10,2023
"Downsview",7,2014
"Downsview",4,2015
"Downsview",9,2016
"Downsview",4,2017
"Downsview",10,2018
"Downsview",8,2019
"Downsview",5,2020
"Downsview",6,2021
"Downsview",6,2022
"Downsview",8,2023
"Oakdale-Beverley Heights",5,2014
"Oakdale-Beverley Heights",8,2015
"Oakdale-Beverley Heights",7,2016
"Oakdale-Beverley Heights",1,2017
"Oakdale-Beverley Heights",7,2018
"Oakdale-Beverley Heights",8,2019
"Oakdale-Beverley Heights",11,2020
"Oakdale-Beverley Heights",9,2021
"Oakdale-Beverley Heights",14,2022
"Oakdale-Beverley Heights",12,2023
"Avondale",3,2014
"Avondale",8,2015
"Avondale",17,2016
"Avondale",22,2017
"Avondale",6,2018
"Avondale",13,2019
"Avondale",37,2020
"Avondale",20,2021
"Avondale",29,2022
"Avondale",9,2023
"East Willowdale",7,2014
"East Willowdale",9,2015
"East Willowdale",15,2016
"East Willowdale",6,2017
"East Willowdale",1,2018
"East Willowdale",4,2019
"East Willowdale",16,2020
"East Willowdale",12,2021
"East Willowdale",8,2022
"East Willowdale",10,2023
"Yonge-Doris",12,2014
"Yonge-Doris",15,2015
"Yonge-Doris",18,2016
"Yonge-Doris",9,2017
"Yonge-Doris",13,2018
"Yonge-Doris",12,2019
"Yonge-Doris",26,2020
"Yonge-Doris",14,2021
